Country Name,Country Code,1990_wom,2000_wom,2013_wom,2014_wom,2015_wom,2016_wom,2017_wom,2018_wom,2019_wom,2020_wom,2021_wom,2022_wom,1990_life,2000_life,2013_life,2014_life,2015_life,2016_life,2017_life,2018_life,2019_life,2020_life,2021_life,1990_gdp,2000_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp
Azerbaijan,AZE,..,..,15.5737704918033,15.5737704918033,16.9354838709677,16.8,16.8,16.8,16.8067226890756,17.3553719008264,18.1818181818182,18.3333333333333,62.352,64.891,70.881,71.116,71.451,72.004,72.248,72.76,73.102,66.868,69.366,..,11.0999991434346,5.80980084268208,2.75050681535518,1.09397591627469,-3.09999988037266,0.199999938958655,1.49999999999999,2.50000006743734,-4.30000010230737,5.61645102853028,4.61652296344128
"Bahamas, The",BHS,..,15,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,17.9487179487179,17.9487179487179,70.133,72.041,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,71.598,-1.59624908707553,4.14841930754267,-2.86250547778705,1.84710719180123,0.996230704298327,-0.762973444883031,2.52416173981204,2.91830692650552,-0.743661882784338,-23.5081014371591,16.9844904756948,14.3682098463345
Bahrain,BHR,..,..,10,7.5,7.5,7.5,7.5,15,15,15,15,20,72.668,75.496,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,78.76,4.43799717642639,5.30007005600883,5.41683981012071,4.35039085252969,2.48537855758804,3.55812811897778,4.29094977756338,2.11113047304872,2.1669646688237,-4.64463735878491,2.66970871448231,4.86085827172992
Bangladesh,BGD,..,9.09090909090909,19.7142857142857,19.8275862068966,20,20,20.2857142857143,20.2857142857143,20.6303724928367,20.9169054441261,20.8571428571429,20.8571428571429,55.989,65.779,69.565,69.986,70.491,71.09,71.788,72.567,72.806,71.968,72.381,5.62225816160704,5.29329471892532,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.5902548153114,7.31940777981607,7.8819067286135,3.44802562762527,6.93867912442445,7.09982877575158
Barbados,BRB,..,10.7142857142857,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,20,20,20,20,26.6666666666667,72.752,74.089,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,77.571,-3.30759330759331,4.44718962322422,-1.29920820787332,-0.00112987966781475,2.42587905631385,2.53499685607439,0.462619285844923,-0.871716338791373,0.26359855236862,-12.7379887726406,-0.782841690641717,11.3337398728112
Belarus,BLR,..,..,26.605504587156,26.605504587156,27.2727272727273,34.5454545454545,34.5454545454545,34.5454545454545,40,40,40,40,70.8365853658537,68.9121951219512,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.4572195121951,72.3706829268293,..,5.80000336082973,1.0034707715852,1.7262099894002,-3.82966307070085,-2.52583140897062,2.53162368036521,3.14963949909348,1.44620667102681,-0.672904125264921,2.43886608142535,-4.6974497069539
Belgium,BEL,..,23.3333333333333,38,39.3333333333333,39.3333333333333,39.3333333333333,38,38,42,41.3333333333333,42,42.6666666666667,76.0519512195122,77.7219512195122,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.890243902439,3.13740231557445,3.71667938420875,0.459242192907709,1.57853314322614,2.04145900919961,1.26668640902095,1.6195802783878,1.79294519302076,2.24083533103139,-5.2607791859752,6.85099562281208,3.00990255927714
Belize,BLZ,..,6.89655172413793,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.67741935483871,12.5,12.5,70.744,68.564,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,70.47,9.47465201669158,12.2406140290649,4.43764383676776,4.00531831673186,3.22549309143569,-0.0110344145780772,-1.81336514835535,1.05559823069711,4.23623453555723,-13.7316910831405,17.8624478393742,8.73431143782066
Benin,BEN,..,6.02409638554217,8.43373493975904,8.43373493975904,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,8.43373493975904,7.40740740740741,53.292,56.578,58.965,59.125,59.377,59.539,59.856,60.14,60.454,60.088,59.821,8.9761343599898,5.85771420543269,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25324491401346
Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,74.5,78.858,79.992,79.518,80.918,80.608,82.351,80.825,81.033,81.136,79.28,0.0192122971144499,9.31715641086083,-0.279708545423034,-3.70106759364258,0.775529699568978,-0.657206304259205,3.61141983706115,-0.432801300339307,0.306266735233933,-6.83795519136594,3.01381643857819,2.92711294908246
